Site,Sample_Description,Latitude,Longitude,Subwatershed,D-Chloride,T-Sodium,T-Phosphorus,Surface.area
C08,C08,43.70336,-79.810104,Fletchers,696,428000,0.038,4082.47
C09,C09,43.699919,-79.814009,Fletchers,333,191000,0.043,3137.61
C100,C100,43.695011,-79.845374,Fletchers,41,23800,0.065,24059.73
C101,C101,43.700712,-79.843054,Fletchers,407,231000,0.024,15099.64
C104,C104,43.71552,-79.82639,Fletchers,355,204000,0.038,19252.06
C106,C106,43.700519,-79.790235,Fletchers,108,51900,0.041,577.93
C115,C115,43.649709,-79.81096,Credit,127,74900,0.1,23120.19
C16,C16,43.693952,-79.807528,Fletchers,603,361000,0.039,3269.67
C17,C17,43.697641,-79.809108,Fletchers,180,106000,0.024,1406.74
C45,C45-T,43.654506,-79.763944,Churchville,940,603000,0.028,581.41
C53,C53,43.619371,-79.766455,Levi,434,264000,0.017,17000.61
C56,C56-T,43.694671,-79.803082,Fletchers,1560,872000,0.036,1696.27
C57,C57,43.693592,-79.801614,Fletchers,649,384000,0.043,1709.34
C68,C68,43.697983,-79.806142,Fletchers,624,277000,0.017,5144.48
C76,C76,43.627494,-79.780279,Levi,274,153000,0.029,15716.61
C80,C80,43.647858,-79.770863,Springbrook,233,145000,0.035,4980.27
C81,C81,43.649479,-79.774857,Springbrook,261,146000,0.025,6058.55
C82,C82,43.653093,-79.769682,Churchville,540,308000,0.025,1940.74
C83,C83,43.651934,-79.775277,Springbrook,123,55800,0.02,6438.21
C84,C84-T,43.650756,-79.780486,Springbrook,157,79500,0.061,8313.11
C86,C86,43.656636,-79.775544,Churchville,277,167000,0.045,3578.91
C88,C88,43.668435,-79.790004,Churchville,299,149000,0.018,17884.99
C92,C92,43.666038,-79.820181,Huttonville,149,71400,0.026,14491.33
C94,C94,43.675108,-79.833236,Huttonville,115,68300,0.044,10562.34
C95,C95,43.67387,-79.837461,Huttonville,104,56300,0.049,12103.99
C97,C97,43.685699,-79.839816,Huttonville,305,170000,0.017,14151.74
C98,C98,43.686316,-79.844498,Huttonville,184,89800,0.033,15686.68
T01,T01,43.793788,-79.740565,West Humber,114,71600,0.033,4093.74
T03,T03,43.789144,-79.744545,West Humber,151,87700,0.051,6229.61
T06,T06,43.78169,-79.734519,West Humber,202,118000,0.018,4073.89
T102,T102,43.778717,-79.692496,West Humber,385,255000,0.036,6573.02
T105,T105-T,43.786285,-79.672851,West Humber,228,147000,0.043,4608.47
T106,T106,43.785984,-79.668431,West Humber,207,121000,0.043,12558.25
T107,T107,43.790199,-79.674123,West Humber,203,127000,0.037,4734.13
T108,T108-T,43.792273,-79.678773,West Humber,615,383000,0.031,2081.63
T109,T109-T,43.792725,-79.676834,West Humber,199,122000,0.049,7854.99
T13,T13,43.769427,-79.725484,West Humber,68.2,48200,0.053,1452.83
T15,T15,43.778276,-79.726022,West Humber,127,75100,0.023,3008.4
T17,T17,43.773728,-79.725751,West Humber,17.7,10900,0.025,1218.49
T53,T53-T,43.768336,-79.678404,West Humber,354,224000,0.072,616.11
T54,T54,43.772197,-79.67909,West Humber,254,177000,0.022,3312.42
T55,T55,43.77531,-79.68473,West Humber,455,319000,0.041,558.45
T56,T56-T,43.779684,-79.684779,West Humber,269,176000,0.048,5074.2
T57B,T57B-T,43.769333,-79.686876,West Humber,495,356000,0.029,5145.85
T57,T57-T,43.770044,-79.68907,West Humber,373,237000,0.035,8018.66
T58,T58-T,43.770963,-79.701827,West Humber,570,367000,0.043,3860.31
T59,T59,43.769272,-79.711381,West Humber,78.1,48900,0.02,5352.58
T60,T60,43.762904,-79.708616,West Humber,30,17000,0.017,4911.13
T76,T76,43.742639,-79.652045,Upper Etobicoke,488,271000,0.017,5467.68
T90,T90,43.658766,-79.713659,Upper Etobicoke,127,72100,0.027,3378.56
